,uniqueid,ward_id,ward_name,lga_id,ward_description,entered_by_user,date_entered,user_ip_address
0,1,2,Aba - Unor,2,Aba - Unor,Bincom,,127.0.0.1
1,2,8,Ejeme,2,Ejeme,Bincom,,127.0.0.1
2,3,9,Isheagu - Ewulu,2,Isheagu - Ewulu,Bincom,,127.0.0.1
3,4,7,Nsukwa,2,Nsukwa,Bincom,,127.0.0.1
4,5,2,Ogwashi - Uku I,2,Ogwashi - Uku I,Bincom,,127.0.0.1
5,6,3,Ogwashi - Uku Ii,2,Ogwashi - Uku Ii,Bincom,,127.0.0.1
6,7,1,Ogwashi - Uku Village,2,Ogwashi - Uku Village,Bincom,,127.0.0.1
7,8,4,Ubulu - Uku I,2,Ubulu - Uku I,Bincom,,127.0.0.1
8,9,5,Ubulu - Uku Ii,2,Ubulu - Uku Ii,Bincom,,127.0.0.1
9,10,6,Ubulu - Unor,2,Ubulu - Unor,Bincom,,127.0.0.1
10,11,11,Ubulu Okiti,2,Ubulu Okiti,Bincom,,127.0.0.1
11,12,10,Ezi,1,Ezi,Bincom,,127.0.0.1
12,13,8,Idumuje - Unor,1,Idumuje - Unor,Bincom,,127.0.0.1
13,14,5,Issele - Azagba,1,Issele - Azagba,Bincom,,127.0.0.1
14,15,6,Issele Uku I,1,Issele Uku I,Bincom,,127.0.0.1
15,16,7,Issele Uku Ii,1,Issele Uku Ii,Bincom,,127.0.0.1
16,17,1,Obior,1,Obior,Bincom,,127.0.0.1
17,18,3,Obomkpa,1,Obomkpa,Bincom,,127.0.0.1
18,19,4,Onicha - Olona,1,Onicha - Olona,Bincom,,127.0.0.1
19,20,2,Onicha Ugbo,1,Onicha Ugbo,Bincom,,127.0.0.1
20,21,9,Ukwu - Nzu,1,Ukwu - Nzu,Bincom,,127.0.0.1
21,22,0,Akugbene,31,Akugbene,Bincom,,127.0.0.1
22,23,0,Akugbene Ii,31,Akugbene,Bincom,,127.0.0.1
23,24,0,Akugbene Iii,31,Akugbene,Bincom,,127.0.0.1
24,25,0,Bomadi,31,Akugbene,Bincom,,127.0.0.1
25,26,0,Kolafiogbene / Ekametagbene,31,Akugbene,Bincom,,127.0.0.1
26,27,0,Kpakiama,31,Akugbene,Bincom,,127.0.0.1
27,28,0,Ogbeinama / Okoloba,31,Akugbene,Bincom,,127.0.0.1
28,29,0,Ogo - Eze,31,Akugbene,Bincom,,127.0.0.1
29,30,0,Ogriagene,31,Akugbene,Bincom,,127.0.0.1
30,31,0,Syama,31,Akugbene,Bincom,,127.0.0.1
31,32,0,Bolou - Ndoro,32,Akugbene,Bincom,,127.0.0.1
32,33,0,Ngbilebiri,32,Akugbene,Bincom,,127.0.0.1
33,34,0,Ngbilebiri Ii,32,Akugbene,Bincom,,127.0.0.1
